:START_ID(Book),:END_ID(Author)
1,"Jefferson, Thomas"
100,"Shakespeare, William"
10000,Anonymous
10001,"Seneca, Lucius Annaeus"
10002,"Hodgson, William Hope"
10003,"Waddington, Mary King"
10004,"Lindsay, Anna Robertson Brown"
10005,"Tucker, George"
10006,"Boccaccio, Giovanni"
10007,"Le Fanu, Joseph Sheridan"
10008,"White, Stewart Edward"
10009,"Hammond, S. H. (Samuel H.)"
1001,Dante Alighieri
10010,"Hayley, William"
10011,Unknown
10012,"Muir, John"
10013,Various
10014,Various
10015,Various
10016,Various
10017,Various
10018,Various
10019,Various
1002,Dante Alighieri
10020,Various
10021,"Leverson, Ada"
10022,"Bueltmann, A. J."
10023,"Brooks, Charles S. (Charles Stephen)"
10024,"Cross, F. J. (Frederick J.)"
10025,"Hurst, Fannie"
10026,Various
10027,"Avery, Harold"
10029,"Magnay, William, Sir"
1003,Dante Alighieri
10030,Buffalo Bill
10031,"Poe, Edgar Allan"
10032,Various
10033,Various
10034,Various
10035,Various
10036,Various
10037,"Black, Edith Ferguson"
10038,"Robins, Elizabeth"
10039,"Behn, Aphra"
1004,Dante Alighieri
10040,"Lee, Charles A."
10041,"Cabell, James Branch"
10042,"Murray, E. R. (Elsie Riach)"
10043,"Ladue, Joseph"
10044,"Wood, William Charles Henry"
10045,"Hancock, H. Irving (Harrie Irving)"
10046,"Buchan, John"
10047,Various
10048,"Wheeler, Janet D."
10049,"Oliphant, Mrs. (Margaret)"
1005,Dante Alighieri
10050,"Oliphant, Mrs. (Margaret)"
10051,"Oliphant, Mrs. (Margaret)"
10052,"Oliphant, Mrs. (Margaret)"
10053,"Féval, Paul"
10054,"Berzelius, Jöns Jakob, friherre"
10055,"Lessing, Gotthold Ephraim"
10056,Faxian
10057,"Hope, Anthony"
10058,"Quigley, Edward J."
10059,"Baum, L. Frank (Lyman Frank)"
1006,Dante Alighieri
10060,"Huxley, Thomas Henry"
10061,"Verhaeren, Emile"
10062,"Keenan, Henry F. (Henry Francis)"
10063,"Towne, Elizabeth"
10064,"Farnol, Jeffery"
10065,"Beck, James M. (James Montgomery)"
10066,"Brand, Max"
10067,"Stevenson, Burton Egbert"
10068,"Cooke, Grace MacGowan"
10069,"Planta, Joseph"
1007,Dante Alighieri
10070,"Eggleston, Edward"
10071,"Edwardes, S. M. (Stephen Meredyth)"
10072,"Moxon, Elizabeth"
10073,"Bachelor, Joseph M. (Joseph Morris)"
10074,Various
10075,"Smith, Venture"
10076,"Bindloss, Harold"
10077,Various
10078,"Johnson, Douglas Wilson"
10079,Various
1008,Dante Alighieri
10080,"Blatch, Harriot Stanton"
10081,"Hayes, Clair W. (Clair Wallace)"
10082,"Rees, Arthur J. (Arthur John)"
10083,"Green, Anna Katharine"
10084,"Curwood, James Oliver"
10086,"Otis, James"
10087,"Forsslund, Louise"
10088,Oxonian
10089,"Mackenzie, Donald A. (Donald Alexander)"
1009,Dante Alighieri
10090,"Nitti, Francesco Saverio"
10091,Various
10092,Various
10093,"MacDonald, George"
10094,"Stevenson, Burton Egbert"
10095,"Garnett, Richard"
10096,Euripides
10097,"Carpenter, Edward"
10098,"Massey, W. T. (William Thomas)"
10099,"Ward, Humphry, Mrs."
101,"Sterling, Bruce"
1010,Dante Alighieri
10100,"Nichol, John"
10101,"Hudson, W. H. (William Henry)"
10102,"Le Queux, William"
10104,Various
10105,Various
10106,Various
10107,"Dalton, Hugh Dalton, Baron"
10108,Anonymous
10109,"Marquand, John P. (John Phillips)"
1011,Dante Alighieri
10110,"Tracy, Louis"
10111,"Sweetser, Kate Dickinson"
10112,"Fiske, John"
10113,"D'Oliveira, E. (Elias)"
10115,"Earle, Alice Morse"
10116,"Kingsley, Charles"
10117,"Rydberg, Viktor"
10118,"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)"
10119,"Shelley, Percy Bysshe"
1012,Dante Alighieri
10120,"Hutton, Edward"
10122,"Graves, Robert"
10123,"Baum, L. Frank (Lyman Frank)"
10124,"Baum, L. Frank (Lyman Frank)"
10125,"Lamb, Charles"
10126,"Waugh, Edwin"
10127,"Evans, Robert J."
10129,Various
1013,"Wells, H. G. (Herbert George)"
10130,"Lamb, Charles"
10131,Anonymous
10132,"Merriman, Henry Seton"
10133,"Quiller-Couch, Arthur"
10134,"Brummitt, Dan B. (Dan Brearley)"
10136,"Beeton, Mrs. (Isabella Mary)"
10137,"Edison, Thomas A. (Thomas Alva)"
10138,Various
10139,"Tyrrell, George"
1014,"Bower, B. M."
10140,"Clark, Donald Lemen"
10141,"Bryant, William Cullen"
10142,"Spyri, Johanna"
10143,Various
10144,Various
10145,"Toynbee, Arnold"
10146,"Moore, Frank"
10147,"Russell, Thomas Herbert"
10148,"Pyle, Howard"
10149,"Cooper, James Fenimore"
1015,"Parkman, Francis"
10150,"Stoker, Bram"
10152,"Lett, Bob"
10153,"Lenord, Frank"
10154,"Schultz, Siegfried Von"
10155,"Roosevelt, Theodore"
10158,"Girard, Gilbert"
10159,"Raleigh, Walter Alexander, Sir"
1016,"Spinoza, Benedictus de"
10160,"France, Anatole"
10162,Cassius Dio Cocceianus
10163,"Hurgronje, C. Snouck (Christiaan Snouck)"
10164,"McClung, Nellie L."
10165,"Greg, Percy"
10166,"Smith, Thomas F. A."
10167,Edison Concert Band
1017,"Wilde, Oscar"
10173,Edison Concert Band
10179,American Concert Orchestra
1018,"Kingsley, Charles"
10182,New York Trio
10185,Edison Minstrels
10186,"Kennedy, Frank"
10187,"Spencer, Len"
10189,Edison Vaudeville Company
1019,"Brontë, Charlotte"
10190,"Hill, Murry K."
10191,"Stewart, Cal"
10192,"Woottwell, Tom"
10195,Blue Ridge Duo
10196,Fiddlin' Powers & Family
102,"Twain, Mark"
1020,"Lowell, Amy"
10201,"Grey, Zane"
10202,"Mitchell, Maria"
10204,"Landfrey, Kenneth"
10205,"Hobart, Garret A. (Garret Augustus)"
10206,"Edison, Thomas A. (Thomas Alva)"
10207,"Bryan, William Jennings"
10208,"Taft, William H. (William Howard)"
10209,"Edison, Thomas A. (Thomas Alva)"
1021,"Lindsay, Vachel"
10210,"Parrish, Randall"
10211,"Leslie, Lawrence J."
10212,"Peck, George W. (George Wilbur)"
10213,"Gregory, Jackson"
10214,"Taylor, Thomas"
10215,"Rovani, Giuseppe"
10216,"Holley, Marietta"
10217,"Austin, Mary Hunter"
10218,"Brandt, G. N. (Gudmund Nyeland)"
10219,"Wordsworth, William"
1022,"Thoreau, Henry David"
10220,"Garis, Howard Roger"
10221,"McClung, Nellie L."
10222,"Webb-Peploe, Mrs. (Annie)"
10223,Various
10224,"Nixon-Roulet, Mary F."
10226,"Saunders, Marshall"
10228,"Díaz, Porfirio"
10229,"Shackleton, Ernest Henry, Sir"
1023,"Dickens, Charles"
10230,"Daniels, Josephus"
10231,"Daniels, Addie Worth Bagley"
10232,"Miles, Nelson Appleton"
10233,"Hutchinson, Miller Reese"
10234,"Cable, George Washington"
10235,"Edison, Theodore M."
10239,Losey's Orchestra
1024,"Osbourne, Lloyd"
10240,Losey's Orchestra
10241,Losey's Orchestra
10242,Losey's Orchestra
10247,Lopez and Hamilton's Kings of Harmony
10248,Harry Raderman's Jazz Orchestra
1025,"Rumford, Benjamin, Graf von"
10251,"Kingsley, Charles"
10253,"Carnegie, Andrew"
10254,"Watson, Thomas Augustus"
10256,Nebe-Quartett
10257,I. J. Hochman's Yiddisher Orchester
10258,Jugoslavensko Tamburasko Drustvo
10259,"Lusk, Milan"
1026,"Grossmith, George"
10266,"Berman, Louis"
10267,"Allen, Quincy"
10268,"Wells, Carolyn"
10269,"""Colored Quartet"" (name unknown)"
1027,"Grey, Zane"
10270,Hann's Emperors of Song
10274,"Barrow, Isaac"
10279,"Stowe, Harriet Beecher"
1028,"Brontë, Charlotte"
10280,"Dunbar, Paul Laurence"
10281,"Shakespeare, William"
10285,Peerless Orchestra (Edison studio ensemble)
10289,"Hervilly, Ernest d'"
1029,"London, Jack"
10290,"Duhamel, Georges"
10291,"Wells, H. G. (Herbert George)"
10292,Various
10293,Anonymous
10295,Jubilee Singers
10296,Jubilee Singers
103,"Verne, Jules"
10304,"Tucker, Sophie"
1031,"Wilde, Oscar"
10310,"Sullivan, Arthur"
10311,"Edison, Thomas A. (Thomas Alva)"
10314,"Campanella, Tommaso"
10315,Firdawsi
10316,"Fitzhugh, Percy Keese"
10317,"Emerson, Alice B."
10318,"Godwin, William"
10319,"Hancock, H. Irving (Harrie Irving)"
1032,"James, Henry"
10320,"May, Sophie"
10321,"Rideout, Henry Milner"
10322,"Conklin, Nathaniel, Mrs."
10323,"Stratemeyer, Edward"
10324,"Brand, Max"
10325,"Kingsley, Charles"
10326,"Kingsley, Charles"
10327,"Vance, Louis Joseph"
10328,"Cassels, Walter Richard"
10329,"Smith, Laura Rountree"
1033,"Wiggin, Kate Douglas Smith"
10330,"Zola, Émile"
10331,Various
10332,Various
10333,"Dickinson, G. Lowes (Goldsworthy Lowes)"
10334,"Metz-Koning, Maria Catherina"
10335,"Wiggin, Kate Douglas Smith"
10337,"Garnett, David"
10338,"Aaronsohn, Alexander"
10339,"Verne, Jules"
1034,"Owen, Wilfred"
10340,"Stoddard, William Osborn"
10342,"Merriman, Henry Seton"
10343,"Lamb, Mary"
10344,"Erickson, Joel A."
10345,"Trollope, Frances Milton"
10346,"Buysse, Cyriël"
10347,"Alvares, Rahul"
10348,"McGuinn, Roger"
10349,"Verne, Jules"
1035,"Robinson, Edwin Arlington"
10350,"Johnson, Samuel"
10351,"Johnson, Samuel"
10352,"Johnson, Samuel"
10353,"Goethe, Johann Wolfgang von"
10354,"Goethe, Johann Wolfgang von"
10355,"Richardson, James"
10356,"Richardson, James"
10357,"Boswell, James"
10358,"Wilson, Harry Leon"
10359,"Baum, L. Frank (Lyman Frank)"
1036,"Lawson, Henry"
10360,"Alcott, Louisa May"
10361,"Troward, T. (Thomas)"
10362,"Dolbey, Robert Valentine"
10363,"Cooper, James Fenimore"
10364,"Kingsley, Charles"
10365,"Cooper, James Fenimore"
10366,"Gandhi, Mahatma"
10367,"Carr, John, Sir"
10368,"Stockton, Frank Richard"
10369,"Yeardley, John"
1037,"Venables, Edmund"
10370,"Musick, John R. (John Roy)"
10371,"Oppenheim, E. Phillips (Edward Phillips)"
10372,"Vachell, Horace Annesley"
10373,"Fletcher, J. S. (Joseph Smith)"
10374,"Bowman, Earl Wayland"
10375,"MacDonald, George"
10376,Zitkala-Sa
10377,"Le Fanu, Joseph Sheridan"
10378,"Mill, John Stuart"
10379,"Garvice, Charles"
1038,"Raleigh, Walter Alexander, Sir"
10380,"Wells, Philip P. (Philip Patterson)"
10381,"Hugo, Victor"
10382,"Howard, J. E."
10383,"Bull, Thomas"
10384,"Conscience, Hendrik"
10385,"Thiers, Adolphe"
10386,"Clarkson, Thomas"
10387,"Musick, John R. (John Roy)"
10389,"Long, William J. (William Joseph)"
