pg_id:ID(Book),title,language
1,The Declaration of Independence of the United States of America,en
100,The Complete Works of William Shakespeare,en
10000,The Magna Carta,en
10001,Apocolocyntosis,en
10002,The House on the Borderland,en
10003,"My First Years as a Frenchwoman, 1876-1879",en
10004,The Warriors,en
10005,"A Voyage to the Moon With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians",en
10006,La Fiammetta,en
10007,Carmilla,en
10008,The Mystery,en
10009,"Wild Northern Scenes Or, Sporting Adventures with the Rifle and the Rod",en
1001,"Divine Comedy, Longfellow's Translation, Hell",en
10010,The Eulogies of Howard: A Vision,en
10011,"365 Foreign Dishes A Foreign Dish for Every Day in the Year",en
10012,The Mountains of California,en
10013,"Punchinello, Volume 1, No. 09, May 28, 1870",en
10014,"Punchinello, Volume 1, No. 18, July 30, 1870",en
10015,"Punchinello, Volume 1, No. 19, August 6, 1870",en
10016,"Punchinello, Volume 1, No. 21, August 20, 1870",en
10017,"Punchinello, Volume 1, No. 23,  September 3, 1870",en
10018,"Punchinello, Volume 1, No. 05,  April 30, 1870",en
10019,"Punchinello, Volume 1, No. 22, August 27, 1870",en
1002,"Divine Comedy, Longfellow's Translation, Purgatory",en
10020,"The Strand Magazine: Vol. 07, Issue 37, January, 1894. An Illustrated Monthly",en
10021,Tenterhooks,en
10022,White Queen of the Cannibals: the Story of Mary Slessor of Calabar,en
10023,There's Pippins and Cheese to Come,en
10024,Beneath the Banner: Being Narratives of Noble Lives and Brave Deeds,en
10025,Gaslight Sonatas,en
10026,"The Mirror of Literature, Amusement, and Instruction Volume 10, No. 268, August 11, 1827",en
10027,"The Triple Alliance, Its Trials and Triumphs",en
10029,The Hunt Ball Mystery,en
1003,"Divine Comedy, Longfellow's Translation, Paradise",en
10030,"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide An Autobiography",en
10031,"The Complete Poetical Works of Edgar Allan Poe Including Essays on Poetry",en
10032,"Punchinello, Volume 1, No. 24, September 10, 1870",en
10033,"Punchinello, Volume 1, No. 25, September 17, 1870",en
10034,"Punchinello, Volume 1, No. 26, September 24, 1870",en
10035,"Punchinello, Volume 2, No. 27, October 1, 1870",en
10036,"Punchinello, Volume 2, No. 28, October 8, 1870",en
10037,A Beautiful Possibility,en
10038,The Magnetic North,en
10039,"The Works of Aphra Behn, Volume III",en
1004,"Divine Comedy, Longfellow's Translation, Complete",en
10040,"Aleutian Indian and English Dictionary Common Words in the Dialects of the Aleutian Indian Language as Spoken by the Oogashik, Egashik, Anangashuk and Misremie Tribes Around Sulima River and Neighboring Parts of the Alaska Peninsula",ale
10041,The Rivet in Grandfather's Neck: A Comedy of Limitations,en
10042,The Child under Eight,en
10043,"Klondyke Nuggets A Brief Description of the Great Gold Regions in the Northwest",en
10044,The Father of British Canada: a Chronicle of Carleton,en
10045,"Dave Darrin's Second Year at Annapolis Or, Two Midshipmen as Naval Academy ""Youngsters""",en
10046,Salute to Adventurers,en
10047,"Punchinello, Volume 2, No. 29, October 15, 1870",en
10048,"Billie Bradley and Her Inheritance; Or, The Queer Homestead at Cherry Corners",en
10049,Old Lady Mary: A Story of the Seen and the Unseen,en
1005,"Divine Comedy, Cary's Translation, Hell",en
10050,A Little Pilgrim: Stories of the Seen and the Unseen,en
10051,"The Little Pilgrim: Further Experiences. Stories of the Seen and the Unseen.",en
10052,"The Open Door, and the Portrait. Stories of the Seen and the Unseen.",en
10053,La vampire,fr
10054,Nova analysis aquarum Medeviensium,la
10055,Hamburgische Dramaturgie,de
10056,"Chinese Literature Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han",en
10057,The Secret of the Tower,en
10058,"The Divine Office A Study of the Roman Breviary",en
10059,Aunt Jane's Nieces on Vacation,en
1006,"Divine Comedy, Cary's Translation, Purgatory",en
10060,"Discourses: Biological & Geological Essays",en
10061,Les Heures Claires,fr
10062,"The Iron Game A Tale of the War",en
10063,Happiness and Marriage,en
10064,Beltane the Smith,en
10065,"The Constitution of the United States A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution",en
10066,Gunman's Reckoning,en
10067,The Mystery of the Boule Cabinet: A Detective Story,en
10068,The Power and the Glory,en
10069,"Account of the Romansh Language In a Letter to Sir John Pringle, Bart. P. R. S.",en
1007,"Divine Comedy, Cary's Translation, Paradise",en
10070,Stories of Great Americans for Little Americans,en
10071,By-Ways of Bombay,en
10072,"English Housewifery Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery",en
10073,The Century Vocabulary Builder,en
10074,"The Mirror of Literature, Amusement, and Instruction Volume 10, No. 269, August 18, 1827",en
10075,"A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself",en
10076,Lister's Great Adventure,en
10077,"The Atlantic Monthly, Volume 10, No. 60, October, 1862 A Magazine of Literature, Art, and Politics",en
10078,Plain Words from America: A Letter to a German Professor (1917),en
10079,"The Atlantic Monthly, Volume 02, No. 09, July, 1858 A Magazine of Literature, Art, and Politics",en
1008,"Divine Comedy, Cary's Translation, Complete",en
10080,Mobilizing Woman-Power,en
10081,"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History",en
10082,The Hampstead Mystery,en
10083,The House of the Whispering Pines,en
10084,Kazan,en
10086,The Minute Boys of the Mohawk Valley,en
10087,Old Lady Number 31,en
10088,"Thaumaturgia; Or, Elucidations of the Marvellous",en
10089,Elves and Heroes,en
1009,La Divina Commedia di Dante: Inferno,it
10090,Peaceless Europe,en
10091,"Punchinello, Volume 2, No. 31, October 29, 1870",en
10092,"Punchinello, Volume 2, No. 30, October 22, 1870",en
10093,"Gutta-Percha Willie The Working Genius",en
10094,A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat,en
10095,"The Twilight of the Gods, and Other Tales",en
10096,The Trojan women of Euripides,en
10097,The Healing of Nations and the Hidden Sources of Their Strife,en
10098,"How Jerusalem Was Won Being the Record of Allenby's Campaign in Palestine",en
10099,Towards the Goal,en
101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,en
1010,La Divina Commedia di Dante: Purgatorio,it
10100,Byron,en
10101,A Little Boy Lost,en
10102,The Czar's Spy: The Mystery of a Silent Love,en
10104,"Punchinello, Volume 2, No. 32,  November 5, 1870",en
10105,"Punchinello, Volume 2, No. 33, November 12, 1870",en
10106,"Punchinello, Volume 2, No. 34, November 19, 1870",en
10107,With British Guns in Italy: A Tribute to Italian Achievement,en
10108,"A Treatise of Daunses, Wherin It is Shewed, That They Are as It Were Accessories and Dependants (Or Thynges Annexed) to Whoredome Where Also by the Way is Touched and Proued, That Playes Are Ioyned and Knit Togeather in a Rancke or Rowe with Them (1581)",en
10109,The Unspeakable Gentleman,en
1011,La Divina Commedia di Dante: Paradiso,it
10110,The Postmaster's Daughter,en
10111,Boys and Girls from Thackeray,en
10112,American Political Ideas Viewed from the Standpoint of Universal History,en
10113,"De mannen van '80 aan het woord Een onderzoek vaar eenige beginselen van de ""Nieuwe-Gids""-school.",nl
10115,"Two Centuries of Costume in America, Volume 1 (1620-1820)",en
10116,All Saints' Day and Other Sermons,en
10117,Den siste atenaren,sv
10118,The Folk-lore of Plants,en
10119,Adonais,en
1012,La Divina Commedia di Dante,it
10120,England of My Heart : Spring,en
10122,Fairies and Fusiliers,en
10123,Aunt Jane's Nieces,en
10124,Aunt Jane's Nieces and Uncle John,en
10125,The Best Letters of Charles Lamb,en
10126,Home-Life of the Lancashire Factory Folk during the Cotton Famine,en
10127,Abducted to Oz,en
10129,Excellent Women,en
1013,The First Men in the Moon,en
10130,"The Works of Charles and Mary Lamb — Volume 3 Books for Children",en
10131,"Required Poems for Reading and Memorizing Third and Fourth Grades, Prescribed by State Courses of Study",en
10132,The Sowers,en
10133,"The Vigil of Venus and Other Poems by ""Q""",en
10134,"John Wesley, Jr. The Story of an Experiment",en
10136,The Book of Household Management,en
10137,"Mary Had a Little Lamb Recording taken from Movietone Production news film",en
10138,"The Atlantic Monthly, Volume 01, No. 02, December, 1857 A Magazine of Literature, Art, and Politics",en
10139,The Faith of the Millions (2nd series),en
1014,The Lure of the Dim Trails,en
10140,"Rhetoric and Poetry in the Renaissance A Study of Rhetorical Terms in English Renaissance Literary Criticism",en
10141,"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck Delivered before the New-York Historical Society, May 17th, 1870",en
10142,"Maezli A Story of the Swiss Valleys",en
10143,"Punch, or the London Charivari, Volume 153, July 11, 1917",en
10144,"Punchinello, Volume 2, No. 35, November 26, 1870",en
10145,Turkey: a Past and a Future,en
10146,"Reminiscences of Pioneer Days in St. Paul A Collection of Articles Written for and Published in the Daily Pioneer Press",en
10147,America's War for Humanity,en
10148,The Merry Adventures of Robin Hood,en
10149,"Home as Found Sequel to ""Homeward Bound""",en
1015,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,en
10150,Dracula's Guest,en
10152,Voice Trial - Kinetophone actor audition,en
10153,Voice Trial - Kinetophone Actor Audition,en
10154,Voice Trial - Kinetophone Actor Audition,en
10155,The Right of the People to Rule,en
10158,Daybreak at Calamity Farm,en
10159,England and the War,en
1016,On the Improvement of the Understanding,en
10160,Pierre Nozière,fr
10162,"Dio's Rome, Volume 3 An Historical Narrative Originally Composed in Greek During The Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus",en
10163,"Mohammedanism Lectures on Its Origin, Its Religious and Political Growth, and Its Present State",en
10164,"The Black Creek Stopping-House, and Other Stories",en
10165,"Across the Zodiac The Story of a Wrecked Record",en
10166,"What Germany Thinks Or, The War as Germans see it",en
10167,Mr. Thomas Cat,en
1017,The Soul of Man under Socialism,en
10173,"Hungarian Rhapsody No. 2, Part 1",en
10179,"Extracts from the Ballet-Suite Scherazada, Pt. 1",en
1018,The Water-Babies,en
10182,"Trio No. 1 in B Flat, Pt. 1 1st Movement, allegro moderato, Op. 99",en
10185,Minstrel Potpourri,en
10186,Schultz at the Paris Exposition,en
10187,Reuben Haskin's ride on the Cyclone Auto,en
10189,Three Rubes Seeing New York,en
1019,"Poems by Currer, Ellis, and Acton Bell",en
10190,A Bunch of Nonsense: Vaudeville Specialty,en
10191,Fourth of July at Punkin Center,en
10192,"Interruptions Comic Sketch",en
10195,Lonesome Road Blues,en
10196,Cluck Old Hen,en
102,The Tragedy of Pudd'nhead Wilson,en
1020,Sword Blades and Poppy Seed,en
10201,The Desert of Wheat,en
10202,"Maria Mitchell: Life, Letters, and Journals",en
10204,Charge of the Light Brigade,en
10205,"Words of Welcome Opening of the Electrical Exposition of New York City",en
10206,The Liver Complaint Story,en
10207,The Railroad Question,en
10208,The Rights of Labor,en
10209,"Electricity and Progress Opening of the New York Electrical Show",en
1021,"The Congo, and Other Poems",en
10210,"Wolves of the Sea Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""",en
10211,At Whispering Pine Lodge,en
10212,Peck's Bad Boy with the Circus,en
10213,The Everlasting Whisper,en
10214,Introduction to the Philosophy and Writings of Plato,en
10215,"Manfredo Palavicino, o, I Francesi e gli Sforzeschi Storia Italiana",it
10216,Poems,en
10217,The Land of Little Rain,en
10218,Stauder,da
10219,The Poetical Works of William Wordsworth — Volume 1 (of 8),en
1022,Walking,en
10220,Daddy Takes Us Skating,en
10221,Purple Springs,en
10222,"The Pilgrims of New England A Tale of the Early American Settlers",en
10223,Meyers Konversationslexikon Band 15,de
10224,"Kalitan, Our Little Alaskan Cousin",en
10226,Beautiful Joe: An Autobiography,en
10228,El Presidente Díaz al Señor Edison,es
10229,My South Polar Expedition,en
1023,Bleak House,en
10230,Remarks from a Visit to Edison Laboratory,en
10231,Remarks from a Visit to Edison Laboratory,en
10232,Remarks from a Visit to Edison Laboratory,en
10233,Transcontinental Telephone Address to Thomas A. Edison,en
10234,Old Creole Days: A Story of Creole Life,en
10235,Discussion on Edison's Monoid Theory,en
10239,2nd Record,en
1024,The Wrecker,en
10240,"Plaque No. 1 Exp. No. 1-2-3-4, Recorder #20",en
10241,"Plaque No. 2 Exp. No. 5-6-7-8, Recorder #20",en
10242,"Plaque No. 6 Exp. No. 27, Recorder #20",en
10247,"Dixieland One-Step",en
10248,Blues my Naughty Sweetie Gives to Me,en
1025,"Essays; Political, Economical, and Philosophical — Volume 1",en
10251,Town Geology,en
10253,The Gospel of Wealth,en
10254,The Birth of the Telephone,en
10256,"O, Tannenbaum",de
10257,Mazel Tov,yi
10258,Nataligino Kolo,en
10259,Smês esko - slováckych písní - cis 1,en
1026,The Diary of a Nobody,en
10266,"The Glands Regulating Personality A Study of the Glands of Internal Secretion in Relation to the Types of Human Nature",en
10267,"The Outdoor Chums; Or, The First Tour of the Rod, Gun and Camera Club",en
10268,Patty at Home,en
10269,Pharoah's Army Got Drownded,en
1027,The Lone Star Ranger: A Romance of the Border,en
10270,What Band Is This?,en
10274,Sermons on Evil-Speaking,en
10279,Uncle Tom's Cabin: Entrance of Topsy,en
1028,The Professor,en
10280,In de Mornin' and Jes Gib Him One Ob Mine,en
10281,"Antony's Address over the Body of Caesar From Julius Caesar",en
10285,Ma Rag Time Baby,en
10289,Le Chat du Neptune,fr
1029,The Night-Born,en
10290,"Confession de Minuit Roman",fr
10291,In the Fourth Year: Anticipations of a World Peace,en
10292,"Punchinello, Volume 2, No. 36, December 3, 1870",en
10293,"Relación historica de los sucesos de la rebelión de José Gabriel Tupac-Amaru en las provincias del Peru, el año de 1780",es
10295,The Band of Gideon,en
10296,"Swing Low, Sweet Chariot",en
103,Around the World in Eighty Days,en
10304,"Some of These Days From Honky Tonk",en
1031,"Charmides, and Other Poems",en
10310,After Dinner Toast at Little Menlo,en
10311,Around the World on the Phonograph,en
10314,The Sonnets of Michael Angelo Buonarroti and Tommaso Campanella; Now for the First Time Translated into Rhymed English,en
10315,"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1",en
10316,Roy Blakeley's Adventures in Camp,en
10317,"Betty Gordon at Boarding School; Or, The Treasure of Indian Chasm",en
10318,Damon and Delia: A Tale,en
10319,"Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen",en
1032,The Pupil,en
10320,Dotty Dimple at Play,en
10321,Dragon's blood,en
10322,Miss Prudence: A Story of Two Girls' Lives.,en
10323,"The Rover Boys at College; Or, The Right Road and the Wrong",en
10324,Bull Hunter,en
10325,The Gospel of the Pentateuch: A Set of Parish Sermons,en
10326,David: Five Sermons,en
10327,Alias the Lone Wolf,en
10328,Poems,en
10329,Snubby Nose and Tippy Toes,en
1033,Rose o' the River,en
10330,Fruitfulness,en
10331,"The Mirror of Literature, Amusement, and Instruction Volume 12, No. 324, July 26, 1828",en
10332,"The Mirror of Literature, Amusement, and Instruction Volume 12, No. 325, August 2, 1828",en
10333,The European Anarchy,en
10334,Van 't  viooltje dat weten wilde,nl
10335,Children's Rights: A Book of Nursery Logic,en
10337,Lady into Fox,en
10338,With the Turks in Palestine,en
10339,An Antarctic Mystery,en
1034,Poems,en
10340,Dab Kinzer: A Story of a Growing Boy,en
10342,The Velvet Glove,en
10343,"The Works of Charles and Mary Lamb — Volume 2 Elia and The Last Essays of Elia",en
10344,Autumn Anthem,en
10345,Domestic Manners of the Americans,en
10346,C'Était ainsi...,fr
10347,Free from School,en
10348,Go to Sea Once More,en
10349,Naar het middelpunt der Aarde,nl
1035,The Man Against the Sky: A Book of Poems,en
10350,"The Works of Samuel Johnson, LL.D. in Eleven Volumes, Volume 06 Reviews, Political Tracts, and Lives of Eminent Persons",en
10351,"The Works of Samuel Johnson, LL.D. Volume 10 Parlimentary Debates I",en
10352,"The Works of Samuel Johnson, LL.D. Volume 11. Parlimentary Debates II.",en
10353,Satyros oder Der vergötterte Waldteufel,de
10354,"Die Laune des Verliebten Ein Schäferspiel in Versen und einem Akt",de
10355,"Travels in Morocco, Volume 1.",en
10356,"Travels in Morocco, Volume 2.",en
10357,"Life of Johnson, Volume 4 1780-1784",en
10358,The Boss of Little Arcady,en
10359,Aunt Jane's Nieces at Millville,en
1036,Joe Wilson and His Mates,en
10360,Kitty's Class Day and Other Stories,en
10361,The Creative Process in the Individual,en
10362,Sketches of the East Africa Campaign,en
10363,The Bravo: A Tale,en
10364,Yeast: a Problem,en
10365,Precaution: A Novel,en
10366,"Freedom's Battle Being a Comprehensive Collection of Writings and Speeches on the Present Situation",en
10367,Poems,en
10368,The Vizier of the Two-Horned Alexander,en
10369,"Memoir and Diary of John Yeardley, Minister of the Gospel",en
1037,The Life of John Bunyan,en
10370,Sustained honor: The Age of Liberty Established,en
10371,The Cinema Murder,en
10372,Bunch Grass: A Chronicle of Life on a Cattle Ranch,en
10373,The Middle Temple Murder,en
10374,The Ramblin' Kid,en
10375,England's Antiphon,en
