author:ID(Author)
"""Colored Quartet"" (name unknown)"
"Aaberg, J. C. (Jens Christian)"
"Aakjær, Jeppe"
"Aalto, Ari"
"Aanrud, Hans"
"Aaron, S. F. (Samuel Francis)"
"Aaronsohn, Alexander"
"Abba, Giuseppe Cesare"
"Abbadie, Arnauld d'"
"Abbe, Ernst"
"Abbey, Charles J. (Charles John)"
"Abbey, Henry"
"Abbot, Francis Ellingwood"
"Abbot, Willis J. (Willis John)"
"Abbott, Belle K. (Belle Kendrick)"
"Abbott, Charles Conrad"
"Abbott, Edwin Abbott"
"Abbott, Eleanor Hallowell"
"Abbott, Frank Frost"
"Abbott, G. F. (George Frederick)"
"Abbott, Henry"
"Abbott, Jacob"
"Abbott, Jane"
"Abbott, John S. C. (John Stevens Cabot)"
"Abbott, Keene"
"Abbott, L. A."
"Abbott, Lemuel Abijah"
"Abbott, Lyman"
"Abbott, Wilbur Cortez"
"Abdullah, Achmed"
"Abel, Annie Heloise"
"Abel, Franklin"
"Abelard, Peter"
"Abercrombie, John"
"Abercrombie, Lascelles"
"Aberigh-Mackay, George"
"Abernathy, Robert"
"Abhedananda, Swami"
"Abney, William de Wiveleslie, Sir"
"Abonyi, Árpád"
"About, Edmond"
"Abrahams, Ethel Beatrice"
"Abrahams, Israel"
"Abrams, Alex. St. Clair (Alexander St. Clair)"
"Abrantès, Laure Junot, duchesse d'"
"Abreu, Francisco Jorge de"
"Abreu, Guilherme Augusto de Vasconcelos"
"Accum, Friedrich Christian"
"Achard, Amédée"
"Achenwall, Gottfried"
"Acheson, Arthur"
"Achleitner, Arthur"
"Ackerman, Carl W. (Carl William)"
"Ackerman, Forrest J."
"Ackland, T. S. (Thomas Suter)"
"Acland, Charles"
"Acland, John Edward"
"Aconite, Tobias"
"Acton, John Emerich Edward Dalberg Acton, Baron"
"Adam, G. Mercer (Graeme Mercer)"
"Adam, Juliette"
"Adam, Paul"
"Adam, of Cobsam"
"Adama van Scheltema, Carel Steven"
"Adams, Alton D."
"Adams, Andy"
"Adams, Brooks"
"Adams, Charles Francis"
"Adams, E. E. (Ezra Eastman)"
"Adams, Edward F. (Edward Francis)"
"Adams, Ephraim Douglass"
"Adams, F. Colburn (Francis Colburn)"
"Adams, Francis Alexandre"
"Adams, Francis William Lauderdale"
"Adams, Franklin P. (Franklin Pierce)"
"Adams, Frederick Upham"
"Adams, George Burton"
"Adams, H. A., Mrs."
"Adams, H. C. (Henry Cadwallader)"
"Adams, H. G. (Henry Gardiner)"
"Adams, H. S. (Henry Sherman)"
"Adams, Henry Charles"
"Adams, Henry"
"Adams, J. S., Mrs."
"Adams, James Meade"
"Adams, Jean Prescott"
"Adams, John G. (John Greenleaf)"
"Adams, John G. B. (John Gregory Bishop)"
"Adams, John Quincy"
"Adams, John S. (John Stowell)"
"Adams, John Turvill"
"Adams, John"
"Adams, Joseph Quincy"
"Adams, Katharine"
"Adams, Morley"
"Adams, Nehemiah"
"Adams, Oscar Fay"
"Adams, Samuel Hopkins"
"Adams, Samuel"
"Adams, Sherred Willcox"
"Adams, W. H. Davenport (William Henry Davenport)"
"Adams, William Alexander"
"Adams, William Davenport"
"Adcock, Arthur St. John"
"Adcock, K. J."
"Addams, Jane"
"Addeman, Joshua M. (Joshua Melancthon)"
"Adderup, Andrew"
"Addison, A. C. (Albert Christopher)"
"Addison, Alvin"
"Addison, C. G. (Charles Greenstreet)"
